Abbreviation/Shorthand,Meaning
DOT,directly observed therapy
DP,Dorsalis pedis
DP,double prong
DPCP,diphenylcyclopropenone
dPCR,digital polymerase chain reaction
DPD,deoxypyridinoline
DPD,dihydropyrimidine dehydrogenase
DPP4,Dipeptidyl Peptidase-4
DPRH,Diaphragm
Dpyr,deoxypyridinoline
DQ,developmental quotient
DRE,digital rectal exam
DRESS,drug reaction with eosinophilia and systemic symptoms
DREZ,dorsal root entry zone
DRG,dorsal root ganglion
DRG,diagnosis-related group
DS,double scattering
DS,Down syndrome
DS,duodenal switch
DSA,Digital Subtraction Angiography
DSA,donor-specific antibodies
DSB,double-strand break
DSD,dynamic stabilization device
DSD,Dry Sterile Dressing
DSDD,Down Syndrome Disintegrative Disorder
dsDNA,double-stranded DNA
DSM,Diagnostic and Statistical Manual of Mental Disorders
DSMES,diabetes self-management education and support 
DSRD,Down Syndrome Regression Disorder
DSTS,downsloping ST-segment
DSWI,deep sternal wound infection
DT,delirium tremens
DTFC,dorzolamide/timolol fixed combination
DTI,diffusion tensor imaging
DTI,deep tissue injury
dTMS,Deep Transcranial Magnetic Stimulation
DTP,"diphtheria, tetanus, pertussis"
DTR,deep tendon reflexes
DUS,Duplex Ultrasonography
DVH,dose-volume histogram 
DVIU,Direct Visual Internal Urethrotomy
DVP,deepest vertical pocket
DVR,Double Valve Replacement
DVS,double-V scrotoplasty
DVT,deep venous thrombosis
DWM,Dandy-Walker malformation
DWS,Dandy-Walker syndrome
Dx,diagnosis
DZ,disease
E-Mod,environmental modification
E-VAC,endoscopic vacuum assisted closure
E. cloacae,Enterobacter cloacae
E. Coli,Escherichia coli
E/M,evaluation and management
EA,episodic ataxia
EA,electroacupuncture
EA E Coli,enteroaggregative Escherichia coli
EAC,External Auditory Canal
EAE,esophageal acid exposure
EAEC,enteroaggregative Escherichia coli
EASI,Eczema Area and Severity Index
EASL,European Association for the Study of the Liver
EAT-10,Easting Assessment Tool
EATT,epicardial adipose tissue thickness
EAU,European Association of Urology
EBER,Epstein-Barr virus-encoded RNA
EBGS,electrical bone growth stimulation
EBL,estimated blood loss
EBL,estimated surgical blood loss
EBRT,external beam radiation therapy
EBUS,endobronchial ultrasound
EBV,Epstein Barr virus
EBV-SMT,Epstein-Barr virus-associated smooth muscle tumor
EC,endometrial cancer
EC,esophageal cancer
EC,enteric coated
ECA,extracellular agent
ECD,echo doppler
ECD,endocardial cushion defect
ECD,endothelial cell dysfunction
ECD,Erdheim-Chester disease
ECF,extracellular fluid
ECG,electrocardiogram
Echo,echocardiogram
ECM,extracellular matrix
ECMO,extracorporeal membrane oxygenation
ECOG,Eastern Cooperative Oncology Group
ECOG-PS,Eastern Cooperative Oncology Group Performance Status
ECP,extracorporeal photopheresis
ECPR,ECMO-assisted cardiopulmonary resuscitation
ECRB,extensor carpi radialis brevis
ECS,elective cesarean section
ECT,electroconvulsive therapy
ECU,extensor carpi ulnaris
ECV,external cephalic version
ED,emergency department
ED,erectile dysfunction
ED,eating disorder
EDA,electrodermal activity
EDACS,Eating and Drinking Ability Classification System
EDC,estimated date of confinement
EDD,estimated date of delivery
EDG,endothelial differentiation gene
EDL,Extensor Digitorum Longus
EDR,Extreme Drug Resistance
EDS,excessive daytime sleepiness
EDS,Eye Dryness Score
EDV,end diastolic volume
EEG,electroencephalogram
EENT,"eyes, ears, nose, throat"
EES,everolimus eluting stent
EF,ejection fraction
EFL,expiratory flow limitation
EFLI,expiratory flow limitation index
EFM,electronic fetal monitoring
EGA,estimated gestational age
EGD,esophagogastroduodenoscopy
EGF,epidermal growth factor
eGFR,Estimated Glomerular Filtration Rate
EGFR,epidermal growth factor receptor
EGJ,esophagogastric junction
EGJOO,esophagogastric junction outflow obstruction
EH,endolymphatic hydrops
EHL,extensor halluces longus
EI,endotracheal intubation
EIA,External Iliac Artery
EIA,enzyme immunoassay
EIM,extraintestinal manifestations
EjD,ejaculatory dysfunction
EKG,electrocardiogram
ELAD,extracorporeal liver support device
ELF,endoluminal fundoplication
ELF,Enhanced Liver Fibrosis Panel
ELISA,enzyme-linked immunosorbent assay
ELIX,elixir
ELSO,Extracorporeal Life Support Organization
ELVO,emergent large vessel occlusion
EM,erythema multiforme
EM,episodic migraine
EMDR,eye movement desensitization and reprocessing
EMG,electromyelogram
EMGGG,electromyographic activity of the genioglossus muscle
EMH,extramedullary hemopoiesis
EMR,electronic medical record
EMS,emergency medical services
EMUL,Emulsion
ENCODE,ENCyclopedia of DNA Elements
EndoAVF,endovascular arteriovenous fistula
ENEM,Enema
ENLS,emergency neurologic life support
ENoG,Electroneurography
ENT,"ear, nose, throat/otolaryngology"
EOB,explanation of benefits
EoE,eosinophilic esophagitis
EOG,electrooculogram
EOL,end of life
EOM,extraocular muscles (movements)
EOMI,extra ocular movements intact
EORTC QLQ H&N35,European Organisation For Research And Treatment Of Cancer Head and Neck Quality of Life Questionnaire 35
EOW,every other week
EP,electrophysiology
EP,etoposide and cisplatin (chemotherapy)
Ep-GBM,epithelioid glioblastoma
EPA,eicosapentaenoic acid
EPCR,endothelial protein C receptor 
EPEC,enteropathogenic E. coli
EPO,erythropoietin
EPOCH,"Etoposide, Prednisolone, Oncovin: vincristine, Cyclophosphamide, Hydroxydaunorubicin: doxorubicin"
EPS,electrophysiology study
EPS,encapsulated peritoneal sclerosis
ER,emergency room
ER,estrogen receptor
ERA,endothelin receptor antagonist
ERA,Enthesitis Related Arthritis
ERAS,Enhanced Recovery After Surgery
ERAS,Early Recovery after Surgery
ERBB2,human epidermal growth factor receptor 2
ERCP,endoscopic retrograde cholangiopancreatography
ERK,extracellular signal-regulated kinase
ERP,Exposure with Response Prevention
ERP,event-related potential
ERV,endogenous retrovirus
ES,Evans' syndrome 
ES,epidural steroids
ESBL,extended spectrum beta-lactamase
ESDM,Early Start Denver Model 
eSET,Elective Single Embryo Transfer
ESI,Emergency Severity Index
ESI,epidural steroid injection
ESLD,end stage liver disease
ESP,erector spinae plane
ESR,erythrocyte sedimentation rate
ESRD,end-stage renal disease
ESS,Epworth Sleepiness Scale
ESS,endoscopic sinus surgery
EST,electroshock therapy
ESV,end systolic volume
ESWL,Extracorporeal Shock Wave Lithotripsy
ESWT,Extracorporeal Shock Wave Therapy
ET,exercise tolerance
ET,endotracheal tube
ET,essential tremor
ET,essential thrombocythaemia
ETANTR,embryonal tumors with abundant neuropil and true rosettes
ETBD,Eustachian Tube Balloon Dilation
ETC,electron transport chain
EtCO2,end-tidal carbon dioxide
ETD,Eustachian Tube Dysfunction
ETDQ-7,7-item Eustachian Tube Dysfunction Questionnaire
ETDRS,Early Treatment Diabetic Retinopathy Study
ETEC,enterotoxigenic E. coli
EtG,ethyl glucuronide
ETMR,embryonal tumor with multilayered rosettes
EtOH,alcohol
EtS,ethyl sulfate
ETS,endoscopic thoracic sympathectomy
ETT,endotracheal tube
ETT,exercise tolerance test
EUA,emergency use authorization
EUA,Exam Under Anesthesia
EUGOGO,European Group on Graves' Orbitopathy
EuroQol,European Quality of Life questionnaire
EUS,Endoscopic Ultrasound
EUS-FNA,endoscopic ultrasound fine-needle aspiration
EV,extracellular vesicle
EVAR,Endovascular Aneurysm Repair
EVAS,Endovascular Aneurysm Sealing
EVD,external ventricular drain
EVH,Endoscopic Vein Harvest
EVLA,endovenous laser ablation
EVLT,endovenous laser therapy
EW,every week
EWHFO,Elbow Wrist Hand Finger Orthosis
EWHO,elbow-wrist-hand orthosis
EXHA,Exhaler
EXHL,Exhaler Liquid
EXHP,Exhaler Powder
EXHS,Exhaler Solution
EXHU,Exhaler Suspension
EXTR,Fluid Extract
F-BSA,facial body surface area
F-VASI,facial vitiligo area scoring index
F-VASI50,50% improvement in the Facial Vitiligo Area Scoring Index
F-VASI75,75% improvement in the Facial Vitiligo Area Scoring Index
F-VASI90,90% improvement in the Facial Vitiligo Area Scoring Index
F/U,follow up
Fab',antigen-binding fragment
FABER,"Flexion, Abduction and External Rotation"
FACS,fluorescence-activated cell sorting
FAD,flavin adenine dinucleotide
FADDIR,"Flexion, Adduction, Internal Rotation"
FAI,Femoral-Acetabular Impingement
FAP,familial adenomatous polyposis
FASPS,familial advanced sleep phase syndrome
FAST,focused assessment with sonography in trauma
FAST,Functional Assessment Screening Tool
FB,foreign body
FB,free breathing
FBN1,fibrillin 1
FBS,fasting blood sugar
FBS,fetal bovine serum
FBSS,Failed Back Surgery Syndrome
FC,fixed combination
FC,functional class
FC,fecal calprotectin
Fc,fragment crystallizable
FCR,"fludarabine, cyclophosphamide and rituximab"
FcRn,neonatal Fc receptor
FD,folliculitis decalvans
FDA,Food and Drug Administration
FDG,fluorodeoxyglucose
FDG-PET/CT,fludeoxyglucose positron emission tomography/computed tomography
FDMA,first dorsal metatarsal artery
FDP,flexor digitorum profundus
FDR,false discovery rate
FE,facial electrolysis
FeNO,fractional exhaled nitric oxide
FES,functional electrical stimulation
FESS,functional endoscopic sinus surgery
FET,frozen embryo transfer
FEV1,forced expiratory volume 1 second
fEVAR,fenestrated endovascular aneurysm repair
FF,fluticasone furoate
FF,follicular fluid
FFA,frontal fibrosing alopecia
FFDM,freedom from widespread distant metastasis
ffERG,full-field electroretinography
fFN,fetal fibronectin
FFP,fresh frozen plasma
FFPE,formalin-fixed paraffin-embedded 
FFR,fractional flow reserve
FFR,filtering facepiece respirator
FFS,facial feminization surgery
FG,Fournier’s gangrene
FGF,fibroblast growth factor
FGFR,fibroblast growth factor receptor
FGFR2,fibroblast growth factor receptor 2
FGFR3,fibroblast growth factor receptor 3
FH,Familial Hypercholesterolemia
FHF,fulminant hepatic failure
FHM,fetal heart monitor
FHM,familial hemiplegic migraine
FHO,Femoral Head Ostectomy
FHR,fetal heart rate
FHT,fetal heart tone
FIGO,Federation Internationale de Gynecolgie et d'Obstetrique
FIM,Functional Independence Measure
FiO2,fractional inspired oxygen concentration
FIP,Feline Infektiöse Peritonitis
FIS,Forskolin-induced swelling
FISH,fluorescence in situ hybridization
FIT,fellow in training
FITC,fluorescein isothiocyanate
FK,tacrolimus
fL,femtoliter
FLA,focal laser ablation
FLAIR,fluid-attenuated inversion recovery
FLAK,flakes
FLIM,fluorescence lifetime imaging microscopy
FLT3,fms-like tyrosine kinase 3
FM,Fugl-Meyer
FM,fibromyalgia
FM,fetal monitor
FMF,Familial Mediterranean Fever
FMN,flavin mononucleotide
FMS,fibromyalgia syndrome
FN,femoral nerve
FN,false negative
FNA,fine needle aspiration
FNAB,fine needle aspiration biopsy
FND,functional neurologic disorder
FO,fluid overload
FOB,father of baby
FOBT,fecal occult blood testing
FOCBP,female of child-bearing potential
FOLFIRI,"Folinic Acid, Fluorouracil, Irinotecan Hydrochloride"
FOLFIRINOX,"folinic acid, fluorouracil, irinotecan, oxaliplatin"
FOLFOX,"Folinic Acid, Fluorouracil, Oxaliplatin"
FOM,floor of mouth
FOP,fibrodysplasia ossificans progressiva
FOXF1,forkhead box F1
FP,femoropopliteal
FP,false positive
FPL,flexor pollicis longus
FPN,ferroportin 
fPSA,free prostate specific antigen
FQHC,Federally Qualified Health Center
FrACT,Freiburg Visual Acuity Test
FRalpha,folate receptor-alpha
FRAX,fracture risk assessment
FRC,functional residual capacity
frEMG,free running electromyography
FRET,fluorescence resonance energy transfer
FS+,febrile seizure plus
FSBS,fingerstick blood sugar
FSE,fast spin echo
FSFI,Female Sexual Function Index
FSG,fasting serum glucose
FSG,finger stick glucose
FSGS,focal segmental glomerulosclerosis
FSH,follicle stimulating hormone
FSP,familial spastic paraparesis
fSRT,fractionated sterotactic radiotherapy
FSS,Freeman-Sheldon syndrome
FT,functional threshold
FT,first trimester
FT,focal therapy
fT3,free triiodothyronine
fT4,free thyroxin
FTM,failure to mature
FTM,female-to-male
FTSG,Full Thickness Skin Graft
FTT,failure to thrive
FTU,fingertip unit
FU,fluorouracil
FU,follow up
FUO,Fever of Unknown Origin
FV,factor V
FVC,forced vital capacity
FVL,factor V Leiden
FWB,full weight bearing
FWW,front wheeled walker
Fx,fracture
fx,fractions
g,gram
G-CSF,granulocyte colony-stimulating factor
G-J,gastrostomy-jejunostomy/Gastro-Jejunal
G-POEM,gastric per oral endoscopic myotomy
g/dl,grams per deciliter
G1,Grade 1 (mild) toxicity
G2,Grade 2 (moderate) toxicity
G3,Grade 3 (severe) toxicity
G4,Grade 4 (potentially life-threatening) toxicity
G6PD,glucose-6-phosphate dehydrogenase
G6PD,glucose-6-phosphate dehydrogenase
GA,general anesthesia
GABA,Gamma-Aminobutyric acid
GABHS,group A β-hemolytic streptococcal
GAD,general anxiety disorder
GAD-7,Generalised Anxiety Disorder Assessment
GAD65,glutamic acid decarboxylase 65-kilodalton isoform
GAG,glycosaminoglycan
GAHS,Glasgow Alcoholic Hepatitis Score
GAK,Cyclin G-associated kinase
GalNAc,N-acetylgalactosamine
GARS-2,"Gilliam Autism Rating Scale, Second Edition"
GAS,Group A Streptococcus
GAS,Gender Affirmation Surgery
GATA2,GATA binding protein 2
GATT,Gonioscopy-Assisted Transluminal Trabeculotomy
GB,gallbladder
GBM,glioblastoma multiforme
GBM-PNC,glioblastomas with primitive neuronal components
GBS,Group B streptococcus
GBX2,gastrulation brain homeobox 2
GC,genomic classifier
GC,glucocorticoid
GC,Gonorrhea
GC-rich,Guanine/Cytosine-rich
GCS,Glasgow coma scale
GCSI,Gastroparesis Cardinal Symptoms Index
GDMT,guideline-directed medical therapy
gDNA,genomic DNA
GDNF,glial cell line-derived neurotrophic factor
GE,gastroesophageal
GEC,gene expression classifier
GEF,guanosine nucleotide exchange factor
GEJ,gastroesophageal junction
GEM,gemcitabine
GEP,gene expression profiling
GEP-NET,gastroenteropancreatic neuroendocrine tumor
GER,gastroesophageal reflux
GERD,gastroesophageal reflux disease
GES,gastric electrical stimulation
GES,gastric emptying scintigraphy
GF,gluten-free
GFMCS,Gross Motor Function Classification System
GFP,green fluorescent protein
GFR,glomerular filtration rate
GGA,Genioglossus Advancement
GGO,ground-glass opacity
GGT,gamma-glutamyltransferase
GH,glenohumeral
GH,growth hormone
GH1,growth hormone 1
GHBP,growth hormone binding protein
GHD,growth hormone deficiency
GHR,growth hormone receptor
GHRHR,growth hormone releasing hormone receptor
GI,gastroenterologist
GI,gastrointestinal
GIB,gastrointestinal bleeding
GIP,glucose-dependent insulinotropic polypeptide
GIPP,Gastrointestinal Pathogen Panel
GIST,gastrointestinal stromal tumor
GJ,Gastro-Jejunal
gLDL,glycated low density lipoprotein
GLI2,Zinc Finger Protein GLI2
GLILD,granulomatous and lymphocytic interstitial lung disease
GLP1,glucagon-like peptide 1
GLP1R,glucagon-like peptide 1 receptor
GLT,glucose loading test
Gluc,glucose
GLUT,glucose transport proteins
GM,gray matter
GM-CSF,granulocyte macrophage colony-stimulating factor
GMFCS,Gross Motor Function Classification System
GNAS,"guanine nucleotide binding protein, alpha stimulating"
GNB,Gram Negative Bacilli
GNB,genicular nerve block
GNR,gram negative rod
GnRH,gonadotropin-releasing hormone
GnRHa,gonadotropin-releasing hormone agonist
GO-QOL,Graves' ophthalmopathy-specific quality-of-life
GOF,gain-of-function
GP,glycoprotein
GP,gemcitabine plus paclitaxel
GPA,granulomatosis with polyangiitis
GPB,Gram Positive Bacilli
GPB,glycophorin B
GPBB,glycogen phosphorylase BB isoenzyme
GPC,gram positive coccus
GPCR,G-protein-coupled receptor
GPE,global perceived effect
GPE,glycine–proline–glutamate
GPP,gastrointestinal pathogen panel
GPR,gram positive rods
GPS,gravitational platelet sequestration
GPS,Genomic Prostate Score
GRADE,"Grading of Recommendations, Assessment, Development, and Evaluations"
GRAN,granules
GRB2,growth factor receptor-bound protein 2
GRC,General Recovery Care guidelines
GRE,gradient recalled echo
GREF,Granules Effervescent
GRS,Gender Reassignment Surgery
GS,general surgery
GS,gram stain
GSD,glycogen storage disease
GSM,genitourinary syndrome of menopause
GSV,great saphenous vein
GSW,gunshot wound
GT,genotype
GTB,greater trochanteric bursitis
GTC seizure,generalized tonic-clonic seizure
GTT,drop(s)
GTT,glucose tolerance test
GTV,gross tumor volume
GU,genitourinary
GVHD,graft versus host disease
GWAS,genome-wide association study
Gy,gray
Gyn,gynecology
γc,common gamma chain
ALC2A10,Solute Carrier Family 2 Member 10
S-I,superior-inferior
S-MAPA,Simple-Measure for Assessing Psoriasis Activity
S. aureus,Staphylococcus aureus
S/P,status post
S1,first sacral vertebra
S1P,sphingosine-1-phosphate
S2,second sacral vertebra
S3,third sacral vertebra
S4,fourth sacral vertebra
S5,fifth sacral vertebra
SA,sinoatrial
SA,sphenopalatine artery
SAAG,serum-ascites albumin gradient
SAB,spontaneous abortion
sAb,surface antibody
SABR,spontaneous abortion rate
SABR,stereotactic ablative radiotherapy
SABR-COMET,Stereotactic Ablative Radiotherapy for the Comprehensive Treatment of Oligometastases
SAC,stent-assisted coil
SACH,"solid ankle, cushioned heel"
SAD,seasonal affective disorder
SADBE,Squaric Acid Dibutylester
SAE,serious adverse event
SAEF,Secondary Aortoenteric Fistula
sAg,surface antigen
SAGES,Society of American Gastrointestinal and Endoscopic Surgeons
SAH,Subarachnoid Hemorrhage
SALT,Severity of Alopecia Tool
SAMe,S-adenosylmethionine
SAMHSA,Substance Abuse and Mental Health Services Administration
SANDE,Symptom Assessment in Dry Eye
SaO2,arterial oxygen saturation
SAPL,suction assisted protein lipectomy
SAR,subacute rehabilitation
SARA,Scale for the Assessment and Rating of Ataxia
SARI,Severe Acute Respiratory Infections
SARS,severe acute respiratory syndrome
SARS-CoV,severe acute respiratory syndrome coronavirus
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus
sat,saturation
SAVR,surgical aortic valve replacement
SB,small bowel
SBE,subacute bacterial endocarditis
SBFT,small bowel follow through
SBM,spontaneous bowel movement
SBO,small bowel obstruction
SBP,spontaneous bacterial peritonitis
SBP,systolic blood pressure
SBR,small bowel resection
SBRT,Stereotactic Body Radiation Therapy
SC,standard care
SC,subcutaneous
SC,Sydenham chorea
SCA,spinocerebellar ataxia
SCA,sudden cardiac arrest
SCA,superior cerebellar artery
SCAI,Society for Cardiovascular Angiography & Interventions
SCAR,severe cutaneous adverse reaction
SCATS,spinal cord assessment tool for spastic reflexes 
SCC,squamous cell carcinoma
SCCT,society of cardiovascular computed tomography
SCD,sudden cardiac death
SCEP,spinal cord evoked potentials
SCFE,slipped capital femoral epiphysis
SCH,supracervical hysterectomy
SCI,spinal cord injury
SCI,synthetic cartilage implant
SCID,Severe Combined Immune Deficiency
SCIg,subcutaneous immunoglobulin
SCN,serous cystic neoplasm
SCNT,somatic cell nuclear transfer
SCQ,Social Communication Questionnaire
sCR,stringent complete response
sCr,serum creatinine
SCS,spinal cord stimulator
SCT,specialty care transport
SCT,stem cell transplantation
SCU,special care unit
SD,stable disease
SD,standard deviation
SDB,sleep disordered breathing
SDC,social day care
SDH,subdural hematoma
SDS,standard deviation score
SDVP,Single Deepest Vertical Pocket
SDX,serdexmethylphenidate
SE,spin echo
SEAS,Scientific Exercises Approach to Scoliosis
SEC,spontaneous echo contrast
SEC,squamous epithelial cell
SECD,Swine Enteric Coronavirus Disease
Segs,segmented neutrophils
SEM,scanning electron microscopy
sEMG,surface electromyography
SEMLS,single-event multilevel surgery
SEP,somatosensory evoked potential
SERM,selective-estrogen receptor modulator
SES-CD,Simple Endoscopic Score for Crohn Disease
SF-36,Short Form-36
SF-MPQ,Short-Form McGill Pain Questionnaire
SFA,superficial femoral artery
SFA,surgery-first approach
SFJ,saphenofemoral junction
SFO,single field optimization
SFTPB,surfactant protein B
SFTPC,surfactant protein C
SG,Signorovitch
SG,sleeve gastrectomy
SGA,small for gestational age
SGE,salivary gland enlargement
SGLT-2,sodium-glucose cotransporter-2
SGOT,serum glutamic oxaloacetic transaminase
SGPT,serum glutamic pyruvic transaminase
SHAM,shampoo
SHBG,Sex Hormone Binding Globulin
SHEE,sheet
SHF,systolic heart failure
SHM,sporadic hemiplegic migraine
SHOX,short stature homeobox-containing gene
SI,sacroiliac
SI,suicidal ideation
SIADH,syndrome of inappropriate antidiuretic hormone secretion
SIB,self-injurious behavior
SIB,simultaneous integrated boost
sIBM,sporadic inclusion body myositis
SIBO,small intestinal bacterial overgrowth
SICU,surgical intensive care unit
SIDS,sudden infant death syndrome
SIF,subchondral insufficiency fracture
SIJ,sacroiliac joint
sIMRT,simplified intensity-modulated radiation therapy
SIMV,synchronized intermittent mandatory ventilation
SIR,Society of Interventional Radiology
siRNA,small interfering RNA
SIRS,Systemic Inflammatory Response Syndrome
SIRT,selective internal radiation therapy
SJS,Stevens-Johnson syndrome
SL,sensory level
SL,stool lactoferrin
SL,sublingual
SLAP,superior labrum from anterior to posterior
SLC,small latent complex
SLC7A7,solute carrier family 7 member 7
SLE,systemic lupus erythematosus
SLEC,short lived effector cell
SLNB,sentinel lymph node biopsy
SLO,secondary lymphoid organ
SLP,speech and language pathology
SLR,straight leg raise
SLRT,Straight Leg Raising Test
SM,self massage
SM,superficial masseter
SM grade,Spetzler-Martin grade
SMA,smooth muscle antibody
SMA,spinal muscular atrophy
SMA,Superior Mesenteric Artery
SMAD-2,mothers against decapentaplegic homolog 2
SMAD3,Mothers against decapentaplegic homolog 3 a
SMART,Self-Management and Recovery Training
SMART,Sepsis Management Alert Response Team
SMART,simultaneous accelerated radiation therapy
SMBG,Self-Monitoring of Blood Glucose
SMD,standardized mean difference
SMFM,Society for Maternal‐Fetal Medicine
SMILE,submucosal minimally invasive lingual excision
SMR,Submucosal Reduction
SMR,Sexual Maturity Rating
SMX-TMP,sulfamethoxazole-trimethoprim
SNC1,serum nadir creatinine level in the first year of life
SND,sinus node dysfunction
SNF,skilled nursing facility
SNHL,sensorineural hearing loss
SNIS,Society of NeuroInterventional Surgery
SNM,sacral neuromodulation
SNN,sternal notch to nipple distance
SNOT-22,Sino-Nasal Outcome Test
SNP,Single Nucleotide Polymorphism
SNRI,serotonin-norepinephrine reuptake inhibitor
SNV,single nucleotide variant
SOAJ,Solution Auto-injector
SOAP,"subjective, objective, assessment, plan"
SOB,shortness of breath
SOCS,suppressors of cytokine signaling
SOCT,Solution Cartridge
SOD,sinus ostial dilation
SOFA,sequential organ failure assessment 
SOLG,Gel Forming Solution
SOLN,Solution
SOLR,solution reconstituted
SON,supraorbital nerve
SONK,spontaneous osteonecrosis of the knee
SOPK,Solution Therapy Pack
SOPN,Solution Pen-injector
SOREM,sleep onset rapid eye movement
SOREMP,sleep-onset rapid eye movement period
SOS,Son of Sevenless
SOSY,solution prefilled syringe
SOT,solid organ transplant
SOTJ,Solution Jet-injector
SOX3,Sex Determining Region Y-Box Transcription Factor 3
SP,Spontaneous Pneumothorax
SPC,single point of cane
SPCCT,spectral photon-counting CT
SPECT,single photon emission computed tomography
SPEP,serum protein electrophoresis
SPEP,serum protein electrophoresis
SPG,sphenopalatine ganglion
sPGA,Static Physicians Global Assessment
SPGB,sphenopalatine ganglion blockade
SPK,superficial punctate keratitis
SPLS,Single-Port Laparoscopic Surgery
SPM,Spontaneous Pneumomediastinum
SpO2,pulse oximetry
SPRT,Spirit
SPS,stimulated parotid salivary
SQ,subcutaneous
SQS,subcutaneous electrical stimulation
SR,sinus rhythm
SR,survival rate
SR,sustained release
SR,systematic review
SRAAA,Suprarenal Abdominal Aortic Aneurysm
SRBD,sleep related breathing disorders
SRER,Suspension Reconstituted ER
SROM,spontaneous rupture of membranes
SRP,signal recognition peptide
SRS,stereotactic radiosurgery
SRS-2,"Social Responsiveness Scale, second edition"
SRT,septal reduction therapy
SRT,superficial radiation therapy
SS,Sjogren syndrome
SS,two copies of sickle hemoglobin β-globin gene
SSA,anti-SjS-related antigen A
SSc,systemic sclerosis
SSCa,Squamous Cell Carcinoma
SSD,splice-site disruptions
SSDI,Social Security Disability Insurance
SSED,summary of safety and effectiveness data
SSEP,spinal somatosensory evoked potential
SSI,supplemental security income
SSI,surgical site infection
SSIL-SEL,Social Skills Improvement System - Social-Emotional Learning Edition
SSIS,Social Skills Improvement System
SSNB,suprascapular nerve block
SSNHL,sudden sensorineural hearing loss
SSP,Secondary Spontaneous Pneumothorax
SSPT,spot-scanning proton therapy
SSR,showed sinus rhythm
SSRI,selective serotonin reuptake inhibitor
SSS,superior sagittal sinus
SSS,symptom severity score
SSSI,skin and skin structure infection
SSSS,Staphylococcal scalded skin syndrome
SSTI,skin and soft tissue infection
SSV,short saphenous vein
SSZ,sulfasalazine
ST,heat-stable
ST,stent thrombosis
STA,superficial temporal artery
STAT,signal transducer and activator of transcription
STAT,statim (immediately)
STCK,Stick
STD,sexually transmitted disease
STEC,Shiga toxin–producing E. coli
STEMI,ST elevation myocardial infarction
STI,sexuallty transmitted infection
STIR,Short Tau Inversion Recovery
STK9,serine/threonine kinase 9
STM,soft tissue mobilization
STOPAH,Steroids or Pentoxifylline for Alcoholic Hepatitis
STRN,Soft tissue radionecrosis
STRP,Strip
STS,serologic test for syphilis
STS,Society of Thoracic Surgeons
STS,soft tissue sarcoma
STSG,Split Thickness Skin Graft
SUA,serum uric acid
SUAJ,Suspension Autoinjector
SUBL,Tablet Sublingual
SUCT,Suspension Cartridge
SUD,substance use disorder
SUDEP,sudden unexpected death in epilepsy
SUER,Suspension Extended Release
SUFE,slipped upper femoral epiphysis
SUFU,"Society of Urodynamics, Female Pelvic Medicine & Urogenital Reconstruction"
SUI,stress urinary incontinence
SUO,Society of Urologic Oncology
SUPK,Suspension Therapy Pack
SUPN,Suspension Peninjector
SUPP,Suppository
SUSP,Suspension
SUSR,Suspension Reconstituted
SUSY,Suspension Prefilled Syringe
SUTJ,Suspension Jetinjector
SUVmax,Maximum Standard Uptake Value
SVC,superior vena cava
SVD,single vessel disease
SVD,small-vessel disease
SVD,spontaneous vaginal delivery
SVG,saphenous vein graft
SvO2,mixed venous oxygen saturation
SVR,sustained virologic response
SVT,supraventricular tachycardia
SW,social work
SW,stab wound
SWI,Susceptibility Weighted Imaging
SWS,stimulated whole salivary
SWS,Sturge–Weber syndrome
Sx,symptoms
SYRP,Syrup
m-VEINES-QOL/Sym,modified Venous Insufficiency Epidemiological and Economic Study-Quality of Life/Symptoms
M/H,medical history
M/R/G,"murmurs, rubs, gallops"
M0,Cancer has not metastacized
M1,Cancer has metastacized
M1,"sphenoidal segment (stem), middle cerebral artery"
M2,"insular segment, middle cerebral artery"
M3,"opercular segments, middle cerebral artery"
M4,"terminal or cortical segments, middle cerebral artery"
MA,metabolic acidosis
MA,maxillary artery
MA,migraine with aura
MAA,Mycotic Aortic Aneurysm
mAbs,monoclonal antibodies
MAC,monitored anesthesia care
MAC,Mycobacterium avium complex
MAC,membrane attack complex
MAC-ELISA,monoclonal antibody capture enzyme-linked immunosorbent assay
MACE,major adverse cardiac event
MACI,matrix autologous chondrocyte implant 
MACS,Manual Ability Classification System
MADRS,Montgomery–Åsberg Depression Rating Scale
MAF,mitral annular flutter
MAFO,molded ankle-foot orthosis
MAG,myelin-associated glycoprotein
MAI,Mycobacterium avium-intracellulare infection
MALS,Median Arcuate Ligament Syndrome
MALT,mucosa-associated lymphoid tissue
MAMC,mid-arm muscle circumference
mane,in the morning
MAO,monoamine oxidase
MAO-B,monoamine oxidase B
MAOI,monoamine oxidase inhibitor
MAP,mean arterial pressure
MAPHR,maximum age-predicted heart rate
MAPK,mitogen-activated protein kinase
MAPS,medical advanced pain specialist
MAR,medication administration record
MAR,melanoma-associated retinopathy
MARS,Methionyl-TRNA Synthetase 1
MARS,molecular absorbents recirculation system
MAS,modified Ashworth scale
MASCC,Multinational Association for Supportive Care
MAT,medication-assisted treatment
MAUDE,Manufacturer and User Facility Device Experience
MB,microbleed
Mb,myoglobin
MBB,medial branch block
MBC,metastatic breast cancer
MBSRQ,Multidimensional Body Self Relations Questionnaire
MC,microscopic colitis
MC,Modic change
MCA,motorcycle accident
